,mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_4,explode
22017,15,12,14112,176,8,4,5544,1736,13,8,3368,4392,15,11,13536,872,0.7,0.75,0.73,0.7,0
22018,24,20,12960,4008,13,7,3880,3880,13,7,2024,3240,18,15,14112,11064,0.75,0.73,0.69,1.0,0
22019,6,1,3496,712,4,0,1128,648,15,11,12960,8504,10,4,1416,1416,0.74,0.7,0.96,0.64,0
22020,15,11,5160,3880,15,10,12216,7224,13,8,10680,1672,13,7,3880,3752,0.72,0.93,0.71,0.75,0
22021,6,1,3624,808,20,17,1544,5736,8,2,3240,296,11,6,680,5160,0.72,0.68,0.59,0.78,0
22022,26,20,4968,5544,13,7,7480,2216,3,0,2280,648,13,7,6200,584,0.7,0.71,0.75,0.61,0
22023,8,4,2984,3112,4,0,2728,904,13,8,2472,3880,10,4,2856,2408,0.77,0.79,0.68,0.74,0
22024,8,4,4264,2472,18,15,9912,6200,10,4,7480,1544,5,0,1224,152,0.75,0.8,0.72,0.55,0
22025,20,17,4008,8504,13,8,10680,1384,15,9,12960,3624,19,17,336,14112,0.8,0.73,0.77,0.92,0
22026,10,4,2856,2664,18,15,1928,4584,5,0,1480,1032,13,8,4584,3496,0.76,0.67,0.73,0.73,0
22027,7,2,5992,648,11,6,504,1992,18,14,6712,4392,4,0,1992,600,0.72,0.61,0.71,0.71,0
22028,13,8,8504,2664,24,20,15264,14688,8,2,3624,1800,10,4,1736,56,0.73,0.98,0.78,0.52,0
22029,25,20,3496,9528,15,9,11064,4776,15,9,12216,6712,15,9,10680,616,0.8,0.82,0.88,0.67,0
22030,11,6,7992,1224,18,14,1928,4136,18,14,7736,12576,15,12,4968,5352,0.73,0.68,0.96,0.78,0
22031,15,12,2600,6968,25,20,22920,5160,2,0,1544,256,13,7,208,1224,0.81,0.82,0.64,0.57,0
22032,5,0,1928,536,22,19,5160,11832,10,4,2984,56,2,0,1064,152,0.68,0.84,0.55,0.57,0
22033,13,8,2472,4584,18,15,3880,3752,10,4,776,1736,5,0,3112,56,0.73,0.65,0.66,0.57,0
22034,8,4,1928,2664,18,15,5160,6200,15,10,7992,136,7,2,1096,32,0.73,0.74,0.61,0.5,0
22035,15,10,3752,1256,6,1,1992,456,4,0,1480,1192,3,0,2472,1320,0.61,0.63,0.74,0.79,0
22036,15,9,256,7736,7,2,4584,696,8,2,256,1864,2,0,296,776,0.81,0.71,0.74,0.71,0
22037,8,4,6968,1480,18,14,14688,6712,8,2,6456,1480,19,17,10680,4008,0.75,0.86,0.78,0.73,0
22038,15,11,6200,8504,15,10,2856,3368,2,0,776,344,4,0,3496,16,0.89,0.66,0.62,0.6,0
22039,24,20,2152,11832,15,12,5160,2024,15,11,552,2280,13,7,10680,1096,0.81,0.67,0.62,0.69,0
22040,20,17,14112,6968,5,0,1128,1352,8,2,3240,1800,5,0,504,1032,0.85,0.76,0.78,0.72,0
22041,8,4,4264,488,15,10,8760,1544,24,20,20616,776,18,14,7736,2856,0.63,0.66,0.73,0.7,0
22042,18,14,6456,4968,19,17,13536,1800,25,20,22920,5160,5,0,3496,120,0.72,0.7,0.82,0.61,0
22043,11,6,5160,5160,24,20,22152,1544,19,17,11832,2472,24,20,11448,3624,0.83,0.76,0.73,0.71,0
22044,13,8,3368,6712,3,0,328,1000,13,8,2472,2984,15,11,1992,4584,0.83,0.74,0.67,0.71,0
